iter	RMSE
0	0.397897346
1	0.385766871
2	0.3751751548
3	0.3644316112
4	0.3541857828
5	0.3439170301
6	0.3334627088
7	0.3239390807
8	0.3152050546
9	0.3072003736
10	0.2990743553
11	0.2911904336
12	0.284299399
13	0.2772955349
14	0.2707903029
15	0.2639194874
16	0.2575042996
17	0.2515065439
18	0.2462313201
19	0.2405732047
20	0.2356167747
21	0.2310182334
22	0.2261883038
23	0.2222803224
24	0.2179237703
25	0.2135666455
26	0.2096188081
27	0.2056764351
28	0.2023752704
29	0.1991141046
30	0.1959698547
31	0.1925964685
32	0.1893176074
33	0.1864832007
34	0.1834364318
35	0.1806948832
36	0.1783092778
37	0.175860978
38	0.1735056437
39	0.1711447321
40	0.1689213949
41	0.166535977
42	0.1646976624
43	0.1627192218
44	0.1609969473
45	0.1593587523
46	0.1575892556
47	0.1560098765
48	0.1544482388
49	0.1531493457
50	0.151753446
51	0.1502439345
52	0.148824944
53	0.1473196027
54	0.1461249926
55	0.1449995918
56	0.1439666597
57	0.1428931366
58	0.1417850414
59	0.1407139053
60	0.1395115081
61	0.1385511833
62	0.1376045272
63	0.1366069757
64	0.135599291
65	0.1347661914
66	0.1338204184
67	0.1329856928
68	0.132283664
69	0.1316126101
70	0.1309923615
71	0.1303143539
72	0.1299798239
73	0.1291718958
74	0.128511013
75	0.1280305922
76	0.1273318527
77	0.126618443
78	0.1260705347
79	0.1256118964
80	0.1250068348
81	0.1243701019
82	0.1239408495
83	0.1235071573
84	0.1230407148
85	0.1227180149
86	0.1222155315
87	0.1217474462
88	0.1212778855
89	0.1208020572
90	0.1203713149
91	0.1198998034
92	0.1196897686
93	0.1195907091
94	0.1190286104
95	0.1184856263
96	0.1180795572
97	0.1178362486
98	0.1175512481
99	0.1173058339
100	0.1170846552
101	0.1170020173
102	0.1167163837
103	0.1166307418
104	0.1162733692
105	0.1159203777
106	0.1155209027
107	0.1150866517
108	0.1147518935
109	0.1143320247
110	0.114006244
111	0.1137941719
112	0.1135944405
113	0.1132489297
114	0.1129589864
115	0.1126357768
116	0.1122675031
117	0.1122015282
118	0.1118853272
119	0.1118300271
120	0.1116595196
121	0.1114268578
122	0.1111684386
123	0.1108865954
124	0.110739396
125	0.1103235198
126	0.1100844907
127	0.1097892834
128	0.1094963667
129	0.1094090456
130	0.1091654643
131	0.1089092736
132	0.1086152508
133	0.1083463553
134	0.10809097
135	0.1077491983
136	0.1074882043
137	0.1072185451
138	0.1070962368
139	0.1068314353
140	0.1065388065
141	0.1063097359
142	0.1062594046
143	0.1060339194
144	0.1059089991
145	0.1058217367
146	0.1055896096
147	0.105390125
148	0.1051027265
149	0.1048691413
